Time   [A]   [B] 
0 1000 0
0.01 999.8 0.2
0.02 999.6 0.4
0.03 999.4 0.6
0.04 999.2 0.8
0.05 999.0 1.0
0.06 998.8 1.2
0.07 998.6 1.4
0.08 998.4 1.6
0.09 998.2 1.8
0.1 998.0 2.0
0.11 997.8 2.2
0.12 997.6 2.4
0.13 997.4 2.6
0.14 997.2 2.8
0.15 997.01 2.99
0.16 996.81 3.19
0.17 996.61 3.39
0.18 996.41 3.59
0.19 996.21 3.79
0.2 996.01 3.99
0.21 995.81 4.19
0.22 995.61 4.39
0.23 995.41 4.59
0.24 995.21 4.79
0.25 995.02 4.99
0.26 994.82 5.18
0.27 994.62 5.38
0.28 994.42 5.58
0.29 994.22 5.78
0.3 994.02 5.98
0.31 993.82 6.18
0.32 993.63 6.38
0.33 993.43 6.57
0.34 993.23 6.77
0.35 993.03 6.97
0.36 992.83 7.17
0.37 992.63 7.37
0.38 992.44 7.56
0.39 992.24 7.76
0.4 992.04 7.96
0.41 991.84 8.16
0.42 991.64 8.36
0.43 991.45 8.56
0.44 991.25 8.75
0.45 991.05 8.95
0.46 990.85 9.15
0.47 990.65 9.35
0.48 990.46 9.54
0.49 990.26 9.74
0.5 990.06 9.94
0.51 989.86 10.14
0.52 989.67 10.33
0.53 989.47 10.53
0.54 989.27 10.73
0.55 989.07 10.93
0.56 988.88 11.12
0.57 988.68 11.32
0.58 988.48 11.52
0.59 988.29 11.71
0.6 988.09 11.91
0.61 987.89 12.11
0.62 987.69 12.31
0.63 987.5 12.5
0.64 987.3 12.7
0.65 987.1 12.9
0.66 986.91 13.09
0.67 986.71 13.29
0.68 986.51 13.49
0.69 986.32 13.68
0.7 986.12 13.88
0.71 985.92 14.08
0.72 985.73 14.27
0.73 985.53 14.47
0.74 985.33 14.67
0.75 985.14 14.86
0.76 984.94 15.06
0.77 984.75 15.25
0.78 984.55 15.45
0.79 984.35 15.65
0.8 984.16 15.84
0.81 983.96 16.04
0.82 983.77 16.24
0.83 983.57 16.43
