Time   [HA]   [A-][H+] 
0 1 0.2 0.0
0.1 1.0 0.2 0.0
0.2 1.0 0.2 0.0
0.3 1.0 0.2 0.0
0.4 1.0 0.2 0.0
0.5 1.0 0.2 0.01
0.6 0.99 0.21 0.01
0.7 0.99 0.21 0.01
0.8 0.99 0.21 0.01
0.9 0.99 0.21 0.01
1.0 0.99 0.21 0.01
1.1 0.99 0.21 0.01
1.2 0.99 0.21 0.01
1.3 0.99 0.21 0.01
1.4 0.99 0.21 0.01
1.5 0.99 0.21 0.01
1.6 0.98 0.22 0.02
1.7 0.98 0.22 0.02
1.8 0.98 0.22 0.02
1.9 0.98 0.22 0.02
2.0 0.98 0.22 0.02
2.1 0.98 0.22 0.02
2.2 0.98 0.22 0.02
2.3 0.98 0.22 0.02
2.4 0.98 0.22 0.02
2.5 0.98 0.22 0.02
2.6 0.97 0.23 0.03
2.7 0.97 0.23 0.03
2.8 0.97 0.23 0.03
2.9 0.97 0.23 0.03
3.0 0.97 0.23 0.03
3.1 0.97 0.23 0.03
3.2 0.97 0.23 0.03
3.3 0.97 0.23 0.03
3.4 0.97 0.23 0.03
3.5 0.97 0.23 0.03
3.6 0.96 0.24 0.04
3.7 0.96 0.24 0.04
3.8 0.96 0.24 0.04
3.9 0.96 0.24 0.04
4.0 0.96 0.24 0.04
4.1 0.96 0.24 0.04
4.2 0.96 0.24 0.04
4.3 0.96 0.24 0.04
4.4 0.96 0.24 0.04
4.5 0.96 0.24 0.04
4.6 0.96 0.24 0.05
4.7 0.95 0.25 0.05
4.8 0.95 0.25 0.05
4.9 0.95 0.25 0.05
5.0 0.95 0.25 0.05
5.1 0.95 0.25 0.05
5.2 0.95 0.25 0.05
5.3 0.95 0.25 0.05
5.4 0.95 0.25 0.05
5.5 0.95 0.25 0.05
5.6 0.95 0.25 0.05
5.7 0.94 0.26 0.06
5.8 0.94 0.26 0.06
5.9 0.94 0.26 0.06
6.0 0.94 0.26 0.06
6.1 0.94 0.26 0.06
6.2 0.94 0.26 0.06
6.3 0.94 0.26 0.06
6.4 0.94 0.26 0.06
6.5 0.94 0.26 0.06
6.6 0.94 0.26 0.06
6.7 0.94 0.26 0.06
6.8 0.93 0.27 0.07
6.9 0.93 0.27 0.07
7.0 0.93 0.27 0.07
7.1 0.93 0.27 0.07
7.2 0.93 0.27 0.07
7.3 0.93 0.27 0.07
7.4 0.93 0.27 0.07
7.5 0.93 0.27 0.07
7.6 0.93 0.27 0.07
7.7 0.93 0.27 0.07
7.8 0.92 0.28 0.08
7.9 0.92 0.28 0.08
8.0 0.92 0.28 0.08
8.1 0.92 0.28 0.08
8.2 0.92 0.28 0.08
8.3 0.92 0.28 0.08
8.4 0.92 0.28 0.08
8.5 0.92 0.28 0.08
8.6 0.92 0.28 0.08
8.7 0.92 0.28 0.08
8.8 0.92 0.28 0.08
8.9 0.91 0.29 0.09
9.0 0.91 0.29 0.09
9.1 0.91 0.29 0.09
9.2 0.91 0.29 0.09
9.3 0.91 0.29 0.09
9.4 0.91 0.29 0.09
9.5 0.91 0.29 0.09
9.6 0.91 0.29 0.09
9.7 0.91 0.29 0.09
9.8 0.91 0.29 0.09
9.9 0.91 0.29 0.09
10.0 0.9 0.3 0.1
10.1 0.9 0.3 0.1
10.2 0.9 0.3 0.1
10.3 0.9 0.3 0.1
10.4 0.9 0.3 0.1
10.5 0.9 0.3 0.1
10.6 0.9 0.3 0.1
10.7 0.9 0.3 0.1
10.8 0.9 0.3 0.1
10.9 0.9 0.3 0.1
11.0 0.9 0.3 0.1
11.1 0.89 0.31 0.11
11.2 0.89 0.31 0.11
11.3 0.89 0.31 0.11
11.4 0.89 0.31 0.11
11.5 0.89 0.31 0.11
11.6 0.89 0.31 0.11
11.7 0.89 0.31 0.11
11.8 0.89 0.31 0.11
11.9 0.89 0.31 0.11
12.0 0.89 0.31 0.11
12.1 0.89 0.31 0.11
12.2 0.89 0.31 0.12
